dataset,algo,size,quality,probe,value
PBMC,Geneformer,100,0.0012346,ridge_mean_r2,-0.16286144142931866
PBMC,Geneformer,100,0.0025982,ridge_mean_r2,-0.20987123140096
PBMC,Geneformer,100,0.0054682,ridge_mean_r2,-0.016518498412459344
PBMC,Geneformer,100,0.0115083,ridge_mean_r2,0.11195040082958148
PBMC,Geneformer,100,0.02422,ridge_mean_r2,0.11035476296439986
PBMC,Geneformer,100,0.050973,ridge_mean_r2,0.14095755512764183
PBMC,Geneformer,100,0.1072766,ridge_mean_r2,0.0006979152137922765
PBMC,Geneformer,100,0.225772,ridge_mean_r2,0.15367049166036797
PBMC,Geneformer,100,0.4751547,ridge_mean_r2,0.16809046303703323
PBMC,Geneformer,100,1.0,ridge_mean_r2,0.1676714776371317
PBMC,Geneformer,215,0.0012346,ridge_mean_r2,-0.15208113190761238
PBMC,Geneformer,215,0.0025982,ridge_mean_r2,-0.2880159492562155
PBMC,Geneformer,215,0.0054682,ridge_mean_r2,-0.004346449208251509
PBMC,Geneformer,215,0.0115083,ridge_mean_r2,0.11429958882035515
PBMC,Geneformer,215,0.02422,ridge_mean_r2,0.12350077555116408
PBMC,Geneformer,215,0.050973,ridge_mean_r2,0.150113077953686
PBMC,Geneformer,215,0.1072766,ridge_mean_r2,-0.004556029251152792
PBMC,Geneformer,215,0.225772,ridge_mean_r2,0.16909442525193125
PBMC,Geneformer,215,0.4751547,ridge_mean_r2,0.1908207949720221
PBMC,Geneformer,215,1.0,ridge_mean_r2,0.16904562764443928
PBMC,Geneformer,464,0.0012346,ridge_mean_r2,-0.1956381194236514
PBMC,Geneformer,464,0.0025982,ridge_mean_r2,-0.2747605188287936
PBMC,Geneformer,464,0.0054682,ridge_mean_r2,0.027947378440689823
PBMC,Geneformer,464,0.0115083,ridge_mean_r2,0.12134892981233934
PBMC,Geneformer,464,0.02422,ridge_mean_r2,0.12677743700795355
PBMC,Geneformer,464,0.050973,ridge_mean_r2,0.15657499022181187
PBMC,Geneformer,464,0.1072766,ridge_mean_r2,0.009476268924872307
PBMC,Geneformer,464,0.225772,ridge_mean_r2,0.18093520887957115
PBMC,Geneformer,464,0.4751547,ridge_mean_r2,0.21757742619756737
PBMC,Geneformer,464,1.0,ridge_mean_r2,0.20683477430407304
PBMC,Geneformer,1000,0.0012346,ridge_mean_r2,-0.19778673174168368
PBMC,Geneformer,1000,0.0025982,ridge_mean_r2,-0.2691412656626202
PBMC,Geneformer,1000,0.0054682,ridge_mean_r2,0.0053409943270648925
PBMC,Geneformer,1000,0.0115083,ridge_mean_r2,0.12786884449867192
PBMC,Geneformer,1000,0.02422,ridge_mean_r2,0.13919057418434247
PBMC,Geneformer,1000,0.050973,ridge_mean_r2,0.1729054793892338
PBMC,Geneformer,1000,0.1072766,ridge_mean_r2,-0.016711580437211004
PBMC,Geneformer,1000,0.225772,ridge_mean_r2,0.20531365829773338
PBMC,Geneformer,1000,0.4751547,ridge_mean_r2,0.22051166562973815
PBMC,Geneformer,1000,1.0,ridge_mean_r2,0.21567135962852158
PBMC,Geneformer,2154,0.0012346,ridge_mean_r2,-0.11552677290078878
PBMC,Geneformer,2154,0.0025982,ridge_mean_r2,-0.23728307985846755
PBMC,Geneformer,2154,0.0054682,ridge_mean_r2,0.01505970255393336
PBMC,Geneformer,2154,0.0115083,ridge_mean_r2,0.13133298114803554
PBMC,Geneformer,2154,0.02422,ridge_mean_r2,0.13617249646398558
PBMC,Geneformer,2154,0.050973,ridge_mean_r2,0.17862152283948599
PBMC,Geneformer,2154,0.1072766,ridge_mean_r2,0.01825731754200215
PBMC,Geneformer,2154,0.225772,ridge_mean_r2,0.22017300240288448
PBMC,Geneformer,2154,0.4751547,ridge_mean_r2,0.22934088409081693
PBMC,Geneformer,2154,1.0,ridge_mean_r2,0.22334875376183458
PBMC,Geneformer,4641,0.0012346,ridge_mean_r2,-0.21168215802282755
PBMC,Geneformer,4641,0.0025982,ridge_mean_r2,-0.20497121472511515
PBMC,Geneformer,4641,0.0054682,ridge_mean_r2,0.006949885624353868
PBMC,Geneformer,4641,0.0115083,ridge_mean_r2,0.1291667610337402
PBMC,Geneformer,4641,0.02422,ridge_mean_r2,0.1492184022890969
PBMC,Geneformer,4641,0.050973,ridge_mean_r2,0.19541389395021208
PBMC,Geneformer,4641,0.1072766,ridge_mean_r2,0.003382067821703994
PBMC,Geneformer,4641,0.225772,ridge_mean_r2,0.22102816529684735
PBMC,Geneformer,4641,0.4751547,ridge_mean_r2,0.24219200262311033
PBMC,Geneformer,4641,1.0,ridge_mean_r2,0.2401048059757398
PBMC,Geneformer,10000,0.0012346,ridge_mean_r2,-0.22089530740253804
PBMC,Geneformer,10000,0.0025982,ridge_mean_r2,-0.22631654625081318
PBMC,Geneformer,10000,0.0054682,ridge_mean_r2,0.021098458035315487
PBMC,Geneformer,10000,0.0115083,ridge_mean_r2,0.1369721107906343
